date,movement,quality,expression,BenchmarkPct,player,Bio_completeness,Bio_composite,Msk_joint_range_completeness,Msk_joint_range_composite,Msk_load_tolerance_completeness,Msk_load_tolerance_composite,Subjective_completeness,Subjective_composite,Soreness_completeness,Soreness_composite,Sleep_completeness,Sleep_composite,emboss_baseline_score
2024-08-05,Agility,Acceleration,Isometric,102.65,Kepa Arrizabalaga,0.8,-1.69,1.0,-8.07,1.0,-4.67,0.98,7.41,0.88,-7.46,0.99,4.32,-1.69
2024-08-05,Agility,Acceleration,Dynamic,100.9,Kepa Arrizabalaga,0.8,-1.69,1.0,-8.07,1.0,-4.67,0.98,7.41,0.88,-7.46,0.99,4.32,-1.69
2024-08-05,Sprint,Max velocity,Isometric,98.74,Kepa Arrizabalaga,0.8,-1.69,1.0,-8.07,1.0,-4.67,0.98,7.41,0.88,-7.46,0.99,4.32,-1.69
2024-08-05,Sprint,Max velocity,Dynamic,104.6,Kepa Arrizabalaga,0.8,-1.69,1.0,-8.07,1.0,-4.67,0.98,7.41,0.88,-7.46,0.99,4.32,-1.69
2024-08-05,Upper Body,Push,Isometric,105.81,Kepa Arrizabalaga,0.8,-1.69,1.0,-8.07,1.0,-4.67,0.98,7.41,0.88,-7.46,0.99,4.32,-1.69
2024-08-05,Upper Body,Push,Dynamic,96.97,Kepa Arrizabalaga,0.8,-1.69,1.0,-8.07,1.0,-4.67,0.98,7.41,0.88,-7.46,0.99,4.32,-1.69
2024-08-05,Upper Body,Pull,Isometric,90.71,Kepa Arrizabalaga,0.8,-1.69,1.0,-8.07,1.0,-4.67,0.98,7.41,0.88,-7.46,0.99,4.32,-1.69
2024-08-05,Upper Body,Pull,Dynamic,103.49,Kepa Arrizabalaga,0.8,-1.69,1.0,-8.07,1.0,-4.67,0.98,7.41,0.88,-7.46,0.99,4.32,-1.69
2024-08-05,Jump,Take off,Isometric,107.86,Kepa Arrizabalaga,0.8,-1.69,1.0,-8.07,1.0,-4.67,0.98,7.41,0.88,-7.46,0.99,4.32,-1.69
2024-08-05,Jump,Take off,Dynamic,91.88,Kepa Arrizabalaga,0.8,-1.69,1.0,-8.07,1.0,-4.67,0.98,7.41,0.88,-7.46,0.99,4.32,-1.69
2024-08-05,Jump,Land,Isometric,102.43,Kepa Arrizabalaga,0.8,-1.69,1.0,-8.07,1.0,-4.67,0.98,7.41,0.88,-7.46,0.99,4.32,-1.69
2024-08-05,Jump,Land,Dynamic,97.05,Kepa Arrizabalaga,0.8,-1.69,1.0,-8.07,1.0,-4.67,0.98,7.41,0.88,-7.46,0.99,4.32,-1.69
2024-08-05,Agility,Acceleration,Isometric,107.38,Édouard Mendy,0.88,7.65,0.97,-4.0,0.88,-4.42,0.81,-9.24,0.88,6.3,,,-0.74
2024-08-05,Agility,Acceleration,Dynamic,102.4,Édouard Mendy,0.88,7.65,0.97,-4.0,0.88,-4.42,0.81,-9.24,0.88,6.3,,,-0.74
2024-08-05,Sprint,Max velocity,Isometric,95.09,Édouard Mendy,0.88,7.65,0.97,-4.0,0.88,-4.42,0.81,-9.24,0.88,6.3,,,-0.74
2024-08-05,Sprint,Max velocity,Dynamic,99.18,Édouard Mendy,0.88,7.65,0.97,-4.0,0.88,-4.42,0.81,-9.24,0.88,6.3,,,-0.74
2024-08-05,Upper Body,Push,Isometric,105.65,Édouard Mendy,0.88,7.65,0.97,-4.0,0.88,-4.42,0.81,-9.24,0.88,6.3,,,-0.74
2024-08-05,Upper Body,Push,Dynamic,104.86,Édouard Mendy,0.88,7.65,0.97,-4.0,0.88,-4.42,0.81,-9.24,0.88,6.3,,,-0.74
2024-08-05,Upper Body,Pull,Isometric,96.4,Édouard Mendy,0.88,7.65,0.97,-4.0,0.88,-4.42,0.81,-9.24,0.88,6.3,,,-0.74
2024-08-05,Upper Body,Pull,Dynamic,90.14,Édouard Mendy,0.88,7.65,0.97,-4.0,0.88,-4.42,0.81,-9.24,0.88,6.3,,,-0.74
2024-08-05,Jump,Take off,Isometric,99.5,Édouard Mendy,0.88,7.65,0.97,-4.0,0.88,-4.42,0.81,-9.24,0.88,6.3,,,-0.74
